0	1100	600	1000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
1100	0	1250	100000	100000	100000	100000	1450	100000	100000	100000	100000	100000	100000
600	1250	0	100000	100000	1300	100000	100000	100000	100000	100000	100000	100000	100000
1000	100000	100000	0	600	100000	100000	100000	1450	100000	100000	100000	100000	100000
100000	100000	100000	600	0	1100	800	100000	100000	100000	100000	100000	100000	100000
100000	100000	1300	100000	1100	0	100000	100000	100000	100000	1200	100000	1400	100000
100000	100000	100000	100000	800	100000	0	700	100000	100000	100000	100000	100000	100000
100000	1450	100000	100000	100000	100000	700	0	100000	700	100000	100000	100000	100000
100000	100000	100000	1450	100000	100000	100000	100000	0	100000	100000	800	100000	800
100000	100000	100000	100000	100000	100000	100000	700	100000	0	900	500	100000	500
100000	100000	100000	100000	100000	1200	100000	100000	100000	900	0	100000	100000	100000
100000	100000	100000	100000	100000	100000	100000	100000	800	500	100000	0	300	100000
100000	100000	100000	100000	100000	1400	100000	100000	100000	100000	100000	300	0	300
100000	100000	100000	100000	100000	100000	100000	100000	800	500	100000	100000	300	0
